"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22632","Добавление товара в корзину","","Sun Feb 15 21:20:58 UTC 2026","failed","Sun Feb 15 21:21:21 UTC 2026","","tests_ui.AddToCartTest","tests_ui.AddToCartTest","addPizzaToCartTest"
"","6204","Сохранение состояния корзины при смене города","","Sun Feb 15 21:21:21 UTC 2026","failed","Sun Feb 15 21:21:27 UTC 2026","","tests_ui.CityTest","tests_ui.CityTest","keepCartWhenCityChangesTest"
