"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14220","Добавление товара в корзину","","Sun Feb 15 21:48:57 UTC 2026","failed","Sun Feb 15 21:49:11 UTC 2026","","tests_ui.AddToCartTest","tests_ui.AddToCartTest","addPizzaToCartTest"
"","18347","Example Mobile CI/CD test","","Sun Feb 15 21:51:08 UTC 2026","passed","Sun Feb 15 21:51:26 UTC 2026","","tests_ui.ExampleMobileTest","tests_ui.ExampleMobileTest","createPetExampleTest"
"","5972","Сохранение состояния корзины при смене города","","Sun Feb 15 21:49:12 UTC 2026","failed","Sun Feb 15 21:49:18 UTC 2026","","tests_ui.CityTest","tests_ui.CityTest","keepCartWhenCityChangesTest"
